"Family","taxon_beta","BDI_category_antidepressant_uselow+yes_beta","BDI_category_antidepressant_usehigh+no_beta","BDI_category_antidepressant_usehigh+yes_beta","taxon_se","BDI_category_antidepressant_uselow+yes_se","BDI_category_antidepressant_usehigh+no_se","BDI_category_antidepressant_usehigh+yes_se","taxon_W","BDI_category_antidepressant_uselow+yes_W","BDI_category_antidepressant_usehigh+no_W","BDI_category_antidepressant_usehigh+yes_W","taxon_p_val","BDI_category_antidepressant_uselow+yes_p_val","BDI_category_antidepressant_usehigh+no_p_val","BDI_category_antidepressant_usehigh+yes_p_val","taxon_q_val","BDI_category_antidepressant_uselow+yes_q_val","BDI_category_antidepressant_usehigh+no_q_val","BDI_category_antidepressant_usehigh+yes_q_val","taxon_diff_abn","BDI_category_antidepressant_uselow+yes_diff_abn","BDI_category_antidepressant_usehigh+no_diff_abn","BDI_category_antidepressant_usehigh+yes_diff_abn"
"1","fbbeae3dceada6928b2cdc472f5d9901",0.568869457217494,1.08018105903711,-0.116698840747624,"fbbeae3dceada6928b2cdc472f5d9901",0.854272877827116,1.41290774513424,0.817787429034557,"fbbeae3dceada6928b2cdc472f5d9901",0.665910708372764,0.76450926308319,-0.142700702657404,"fbbeae3dceada6928b2cdc472f5d9901",0.505468175510693,0.444563818704942,0.886526561757691,"fbbeae3dceada6928b2cdc472f5d9901",0.770779853873834,0.687053174362184,0.92793108026573,"fbbeae3dceada6928b2cdc472f5d9901",FALSE,FALSE,FALSE
"2","6c5d1b5e9f8130357774ec6cbdd614da",1.43419846792041,0.206473094491061,0.050584691387811,"6c5d1b5e9f8130357774ec6cbdd614da",0.925318835923152,0.79374501191432,0.559267169199196,"6c5d1b5e9f8130357774ec6cbdd614da",1.54995058161717,0.260125218290314,0.0904481689140492,"6c5d1b5e9f8130357774ec6cbdd614da",0.121153377759883,0.794767185944844,0.92793108026573,"6c5d1b5e9f8130357774ec6cbdd614da",0.40452516606117,0.931796011107749,0.92793108026573,"6c5d1b5e9f8130357774ec6cbdd614da",FALSE,FALSE,FALSE
"3","e8d0f444dc3a43708bc843fd8472b381",-0.366018481909076,-2.75198052592051,0.813572810396883,"e8d0f444dc3a43708bc843fd8472b381",0.669053688547879,0.52646228793995,0.84715058720406,"e8d0f444dc3a43708bc843fd8472b381",-0.547068924623204,-5.2273079933019,0.96036386291368,"e8d0f444dc3a43708bc843fd8472b381",0.584331380609003,1.71995860123837e-07,0.336872118831755,"e8d0f444dc3a43708bc843fd8472b381",0.789067245717901,5.84785924421046e-06,0.796332912903406,"e8d0f444dc3a43708bc843fd8472b381",FALSE,TRUE,FALSE
"4","7a6db5f059c69a310d7c97e1b488fe74",-0.224841633440648,-1.23695684291474,-0.0480074861179487,"7a6db5f059c69a310d7c97e1b488fe74",0.393467626666476,0.668323551743466,0.505790803994367,"7a6db5f059c69a310d7c97e1b488fe74",-0.571436169591751,-1.85083533220978,-0.0949156958545322,"7a6db5f059c69a310d7c97e1b488fe74",0.567704016964713,0.0641932463638856,0.924381789316429,"7a6db5f059c69a310d7c97e1b488fe74",0.789067245717901,0.455775048987847,0.92793108026573,"7a6db5f059c69a310d7c97e1b488fe74",FALSE,FALSE,FALSE
"5","a0f9d2150e3f8419a6ade2e296eafb5f",-0.0976019157825924,-1.39574634688851,0.251669691040834,"a0f9d2150e3f8419a6ade2e296eafb5f",0.644323134040946,0.963014370510807,0.85113452643783,"a0f9d2150e3f8419a6ade2e296eafb5f",-0.151479763221399,-1.4493515254068,0.295687324651395,"a0f9d2150e3f8419a6ade2e296eafb5f",0.879597273233628,0.147239438611181,0.767468878041844,"a0f9d2150e3f8419a6ade2e296eafb5f",0.879597273233628,0.556237879197796,0.92793108026573,"a0f9d2150e3f8419a6ade2e296eafb5f",FALSE,FALSE,FALSE
"6","1bf54441e8be15a502162eb368138b5e",-0.210727764429633,-0.878433363135671,0.468777245846367,"1bf54441e8be15a502162eb368138b5e",0.751740290969686,0.749890873288689,0.763267235222146,"1bf54441e8be15a502162eb368138b5e",-0.280319901648228,-1.17141492772575,0.614171844688094,"1bf54441e8be15a502162eb368138b5e",0.779232083314002,0.241432034846343,0.539101776556663,"1bf54441e8be15a502162eb368138b5e",0.835055560857191,0.628164885336888,0.796332912903406,"1bf54441e8be15a502162eb368138b5e",FALSE,FALSE,FALSE
"7","19563b70bb3469c665c888e4685e7f99",0.420589646213519,-0.359906148890252,0.0904068644100955,"19563b70bb3469c665c888e4685e7f99",0.372986834018314,0.402727990401882,0.366708406284209,"19563b70bb3469c665c888e4685e7f99",1.12762598529917,-0.893670560447269,0.246536111146653,"19563b70bb3469c665c888e4685e7f99",0.25947790770924,0.371498181230247,0.805267254230052,"19563b70bb3469c665c888e4685e7f99",0.592689948865165,0.628164885336888,0.92793108026573,"19563b70bb3469c665c888e4685e7f99",FALSE,FALSE,FALSE
"8","ec65ab01e974afdd946f7c025b3ceba5",-0.667412223002146,-0.864614335567279,0.57007530655493,"ec65ab01e974afdd946f7c025b3ceba5",0.441802536395783,0.786178047320341,0.442875949570308,"ec65ab01e974afdd946f7c025b3ceba5",-1.51065729148339,-1.09976911529683,1.28721215750829,"ec65ab01e974afdd946f7c025b3ceba5",0.13087578901979,0.271432732137941,0.198020350902448,"ec65ab01e974afdd946f7c025b3ceba5",0.40452516606117,0.628164885336888,0.796332912903406,"ec65ab01e974afdd946f7c025b3ceba5",FALSE,FALSE,FALSE
"9","a965d63a2b3f783b281a48f774847f29",0.699140612940384,0.587690905545652,-0.777325689700696,"a965d63a2b3f783b281a48f774847f29",0.668813503141761,0.58881898678568,0.355785072088194,"a965d63a2b3f783b281a48f774847f29",1.04534464339634,0.998084162934034,-2.18481816884102,"a965d63a2b3f783b281a48f774847f29",0.295863711399021,0.318238548965204,0.0289021813400064,"a965d63a2b3f783b281a48f774847f29",0.628710386722919,0.628164885336888,0.491337082780109,"a965d63a2b3f783b281a48f774847f29",FALSE,FALSE,FALSE
"10","57188cc28844564b611d3dd0d6e30de7",0.542722753712437,-0.292586666416268,-0.407809947858837,"57188cc28844564b611d3dd0d6e30de7",0.561167464001516,0.760342310968913,0.402572879877842,"57188cc28844564b611d3dd0d6e30de7",0.967131540097574,-0.384809134248259,-1.01300899350841,"57188cc28844564b611d3dd0d6e30de7",0.333478280204627,0.700378831147652,0.31105586519426,"57188cc28844564b611d3dd0d6e30de7",0.663619275121993,0.873563813701679,0.796332912903406,"57188cc28844564b611d3dd0d6e30de7",FALSE,FALSE,FALSE
